fecha,EST,LAT,INQ,TEMPERATURA,PH,OXIGENO_DISUELTO,CONDUCTIVIDAD,TURBIEDAD,ALCALINIDAD_TOTAL,CLORUROS_TOTALES,DUREZA_TOTAL,FLUORUROS,NITROGENO_DE_NITRATOS,NITROGENO_DE_NITRITOS,NITROGENO_AMONIACAL,NITROGENO_TOTAL_KJELDAHL,SULFATOS,SAAM,DBO_5,DQO,GRASAS_Y_ACEITES,FOSFORO_TOTAL,SST,SOLIDOS_DISUELTOS_TOT,SOLIDOS_SEDIMENTABLES,SULFUROS,ALUMINIO,ARSENICO,BARIO,CADMIO,COBRE,CROMO,FIERRO,MANGANESO,MERCURIO,NIQUEL,PLOMO,SODIO,ZINC,COLIFORMES_TOTALES,COLIFORMES_FECALES,MATERIA_FLOTANTE,TEMP_AMBIENTE,ACIDEZ_TOTAL,DUREZA_DE_CALCIO,SOLIDOS_TOTALES,NITROGENO_TOTAL
2014-04-01,AA-01,20.537825,"'-103.296703",27.4,8.04,0.992735849,1628.0,55.0,730.82,73.85614815,372.88,1.26,0.12,0.011,28.85,36.98,58.78,7.58,58.2,254.43,10.69,7.31,67.0,1022.0,0.05,7.91,0.4291,0.005,0.0062,2.5E-4,0.025,0.025,0.285,0.551,2.5E-4,0.12,0.009,159.6,0.029,240000.0,93000.0,1.0,32.0,38.73732759,117.7425455,1089.0,37.1
2020-02-24,AA-01,20.537825,"'-103.296703",21.0,6.3,0.01,1445.0,16.67,488.62,73.85614815,236.56,3.72,0.33,0.005,27.18,33.99,42.08,16.56,238.0,465.74,20.16,5.17,50.0,921.0,0.05,31.15,2.14,0.009,0.231,0.00152,0.025,0.025,0.347,0.277,2.5E-4,0.05,0.00125,105.4,0.091,1.555574231E7,7036487.593,1.0,21.0,46.66,152.26,971.0,34.32
2012-08-29,AA-01,20.537825,"'-103.296703",22.8,7.51,0.3,888.0,45.0,345.0,73.85614815,210.44,0.92,0.16,0.011,14.27,17.09,72.89,2.41,47.16,92.34,4.185,3.39,48.0,558.0,0.05,1.79,2.5692,0.0044,0.202,5.8E-4,0.025,0.025,0.496,0.338,5.8E-4,0.05,0.005,76.0,0.01,2400000.0,930000.0,1.0,34.6,38.73732759,117.7425455,606.0,68.8032
2012-07-24,AA-01,20.537825,"'-103.296703",28.5,7.37,1.8,637.0,120.0,163.86,73.85614815,119.96,0.6,0.19,0.011,5.0,8.47,39.08,0.0095,17.64,68.21,4.185,1.81,163.0,381.0,0.05,0.75,4.9332,0.0026,0.0207,0.00128,0.025,0.025,4.303,0.378,2.5E-4,0.05,0.0054,25.4,0.09,210000.0,28000.0,1.0,26.5,38.73732759,117.7425455,544.0,8.66
2016-10-11,AA-01,20.537825,"'-103.296703",24.2,7.44,0.66,758.0,25.0,302.79,73.85614815,166.21,0.58,0.05,0.011,6.9,11.14,99.2,1.26,49.8,128.93,4.185,2.3,64.0,493.0,0.2,12.23,1.6181,0.00125,0.0025,2.5E-4,0.025,0.025,0.943,0.246,2.5E-4,0.05,0.00125,71.3,0.028,1.555574231E7,7036487.593,1.0,29.5,38.73732759,117.7425455,557.0,11.14
2009-06-30,AA-01,20.537825,"'-103.296703",22.0,7.6,0.992735849,1531.0,53.1,595.6,73.85614815,183.6,1.22,0.05,0.01,16.29,36.94,162.42,24.63,192.0,316.82,29.69,7.8,81.0,900.0,0.05,1.06,0.896,0.0058,0.0025,2.5E-4,0.025,0.025,0.458,0.26,8.0E-4,0.05,0.00125,128.4,0.058,2.4E7,2.4E7,1.0,25.0,38.73732759,117.7425455,981.0,36.95
2014-06-09,AA-01,20.537825,"'-103.296703",22.52065693,7.41,0.992735849,1161.767185,90.71162963,436.0611111,73.85614815,215.3536296,1.265611111,0.234751825,0.027670073,20.65135338,29.25118519,92.4737037,6.483848148,125.189562,301.1871168,17.41661765,4.783175182,114.0962044,719.3863504,0.324525547,12.87946269,2.617389051,0.004040146,0.077880519,9.92815E-4,0.028277372,0.038131387,1.381923358,0.34819708,6.34307E-4,0.075036496,0.006531022,114.4125597,0.118350365,1.555574231E7,7036487.593,1.0,24.05639098,38.73732759,117.7425455,827.5348148,34.70432932
2011-09-27,AA-01,20.537825,"'-103.296703",26.2,7.37,0.992735849,739.0,150.0,301.5,73.85614815,254.23,0.9,0.36,0.36,8.83,18.91,60.53,1.81,52.8,295.87,4.34,4.53,375.0,446.0,0.6,7.42,0.3202,0.0061,0.19,0.00101,0.057,0.059,6.579,0.588,0.00126,0.05,0.0184,60.92,0.405,9300000.0,4300000.0,1.0,30.3,38.73732759,117.7425455,821.0,75.0632
2013-05-14,AA-01,20.537825,"'-103.296703",26.2,7.83,0.05,1704.0,130.0,744.64,73.85614815,291.43,1.5,0.18,0.022,4.35,6.15,82.82,6.78,85.0,207.86,19.84,4.97,73.0,1012.0,0.05,31.47,0.3674,0.0034,0.0095,2.5E-4,0.025,0.025,0.173,0.541,2.5E-4,0.05,0.00125,164.3,0.456,930000.0,430000.0,1.0,33.7,38.73732759,117.7425455,1085.0,6.352
2013-01-29,AA-01,20.537825,"'-103.296703",15.0,7.76,0.03,1378.0,90.0,578.22,73.85614815,227.31,1.04,0.25,0.011,36.92,41.92,61.58,10.42,95.2,211.41,13.26,3.46,47.0,765.0,0.05,6.7,0.582,0.00125,0.0607,2.5E-4,0.025,0.025,0.218,0.371,2.5E-4,0.05,0.00125,116.4,0.094,2100.0,2100.0,1.0,10.6,38.73732759,117.7425455,812.0,42.17
