fecha,EST,LAT,LONG,TEMPERATURA,PH,OXIGENO_DISUELTO,CONDUCTIVIDAD,TURBIEDAD,ALCALINIDAD_TOTAL,CLORUROS_TOTALES,DUREZA_TOTAL,FLUORUROS,NITROGENO_DE_NITRATOS,NITROGENO_DE_NITRITOS,NITROGENO_AMONIACAL,NITROGENO_TOTAL_KJELDAHL,SULFATOS,SAAM,DBO_5,DQO,GRASAS_Y_ACEITES,FOSFORO_TOTAL,SST,SOLIDOS_DISUELTOS_TOT,SOLIDOS_SEDIMENTABLES,SULFUROS,ALUMINIO,ARSENICO,BARIO,CADMIO,COBRE,CROMO,FIERRO,MANGANESO,MERCURIO,NIQUEL,PLOMO,SODIO,ZINC,COLIFORMES_TOTALES,COLIFORMES_FECALES,MATERIA_FLOTANTE,TEMP_AMBIENTE,ACIDEZ_TOTAL,DUREZA_DE_CALCIO,SOLIDOS_TOTALES,NITROGENO_TOTAL
18/05/15,RS-01,20.346928,-102.779392,26.7,8.25,2.83,1024,37,348.36,65.79,164.99,1.33,0,0,0.61,1.46,101.9,0,2.88,38.46,0,0.65,35,737,0.1,3.9,3.4518,0.0159,0.0177,0,0,0,3.063,0.113,0.00139,0,0,126.8,0.055,2,2,1,29.6,0,0,772,1.46
04/07/22,RS-07,20.839097,-103.328972,24,7.2,6.32,369,39,105.83,20.01,79.79,0.55,0.92,1.288,5.18,7.69,44.23,0.74,23.52,64.477,27.4,1.7,88,224,0.9,0,3.02,0,0.0362,0.00141,0,0,1.612,0.123,0,0,0.0041,29.2,0.062,4,4,0,28,16.33,55.64,312,9.9
15/01/18,AA-02,20.497869,-103.216722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24/04/12,AA-01,20.537825,-103.296703,29.6,8.17,4.52,1245,33,525.81,70.85,308.01,1.35,1.12,0.021,0,0,91.44,11.42,85.8,217.24,11.63,0,47,787,0,1.57,0.2124,0,0.00637,0,0,0,0.372,0.435,8.80E-04,0,0.0068,113,0.116,1500000,200000,1,34.2,0,0,834,0
03/02/22,RS-03,20.442003,-103.143814,14,6.9,3.84,1028,2.85,317.72,87.75,191.39,0.97,0,0.019,3.41,3.75,121.07,0.42,3.53,38.322,0,1.33,7,863,0,0.43,0.189,0.0081,0.112,0,0,0,0.165,0.123,0,0,0.0095,135.4,0,15,15,0,20,22.54,115.42,690,3.77
03/05/17,RS-10,21.190106,-104.073053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/15,AA-02,20.497869,-103.216722,24.6,7.31,4.05,1317,13,437.25,95.62,217,1.795,7.31,0.658,5.43,7.58,138.79,0.26,23.4,59.52,0,4.47,18,935,0,5.7,0.3223,0.0029,0.0085,0,0,0,0.217,0.173,0.00136,0,0,165.6,0.058,240,46,0,21.7,0,0,953,14.89
09/06/14,RS-03,20.442003,-103.143814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20/10/09,AA-01,20.537825,-103.296703,16,7.5,0,1311,101.2,458,80.63,287.06,1.14,0.38,0,11.17,11.17,81.25,1.449,123.8,240,22.11,9.04,54,764,0.2,1.05,1.264,0.005,0,0,0,0,0.645,0.321,0,0,0,96.9,0.052,2.40E+08,2.10E+07,0,16,9.58,0,818,11.55
11/02/09,AA-02,20.497869,-103.216722,19,7.35,0,0,0,0,0,0,0,0.534,0,0,31.36,0,0,122.5,313,2.12,0.4,79,918,0.5,0,1.17,0.0125,0,0,0,0,0.676,0.361,0,0,0,128,0.086,4600000,2400000,0,0,0,0,997,31.894
