fecha,EST,LAT,LONG,TEMPERATURA,PH,OXIGENO_DISUELTO,CONDUCTIVIDAD,TURBIEDAD,ALCALINIDAD_TOTAL,CLORUROS_TOTALES,DUREZA_TOTAL,FLUORUROS,NITROGENO_DE_NITRATOS,NITROGENO_DE_NITRITOS,NITROGENO_AMONIACAL,NITROGENO_TOTAL_KJELDAHL,SULFATOS,SAAM,DBO_5,DQO,GRASAS_Y_ACEITES,FOSFORO_TOTAL,SST,SOLIDOS_DISUELTOS_TOT,SOLIDOS_SEDIMENTABLES,SULFUROS,ALUMINIO,ARSENICO,BARIO,CADMIO,COBRE,CROMO,FIERRO,MANGANESO,MERCURIO,NIQUEL,PLOMO,SODIO,ZINC,COLIFORMES_TOTALES,COLIFORMES_FECALES,MATERIA_FLOTANTE,TEMP_AMBIENTE,ACIDEZ_TOTAL,DUREZA_DE_CALCIO,SOLIDOS_TOTALES,NITROGENO_TOTAL
18/05/15,RS-01,20.346928,-102.779392,26.7,8.25,2.83,1024,37,348.36,65.79,164.99,1.33,0,0,0.61,1.46,101.9,0,2.88,38.46,0,0.65,35,737,0.1,3.9,3.4518,0.0159,0.0177,0,0,0,3.063,0.113,0.00139,0,0,126.8,0.055,2,2,1,29.6,0,0,772,1.46
09/07/18,RS-01,20.346928,-102.779392,21,7.1,1.44,289.5,260,99.33,15.68,100.8,0.41,2.5,0.419,0,3.65,36.55,0,9.48,51.79,0,0.41,345,266,0.5,1.32,29.0049,0,0.2115,0.00358,0,0,10.634,0.464,0,0,0.0067,12.2,0.069,240,240,0,26,5.39,80.04,611,6.57
21/09/17,RS-01,20.346928,-102.779392,22.3,7.36,0,323,16,108.63,14.41,99,0.87,1.5,0.521,0,1.84,21.41,0,6.04,0,0,0.58,27,182,0,2.72,1.5332,0,0.1032,7.30E-04,0,0,1.261,0.159,0,0,0.0042,12,0,1,1,0,20,0,0,209,3.86
11/02/19,RS-01,20.346928,-102.779392,20,7.9,5.75,807,12,270.53,49.42,201.78,2.81,0,0.051,0.68,1.66,98.65,0,2.95,26.35,0,0.78,16,487,0,1.84,1.6011,0.0042,0.1958,0.00162,0,0,0.824,0.138,0,0,0.005,78.3,0.03,46,24,0,21,4.48,107.6,503,1.71
02/09/14,RS-01,20.346928,-102.779392,22.1,7.12,6.58,24.5,190,83.51,10.89,82.99,0,2.58,0.163,2.34,3.39,14.07,0.19,3.39,44.48,0,0.84,144,251,0,1.51,17.38,0,0,0,0,0,9.791,0.221,0,0,0,10,0.058,93,43,0,24.8,0,0,395,5.97
03/05/11,RS-01,20.346928,-102.779392,25.5,7.82,0.58,917.6,30,348.1,53.65,229.27,0.99,0.25,0.01,1.67,4.08,78.86,0.43,6.7,56.68,0,1.98,40,604,0,3.75,1.906,0.014,0.0124,0,0,0,0.937,0.085,0,0,0.0042,90.45,0.038,1100000,9000,1,32,0,0,644,7.3
25/05/10,RS-01,20.346928,-102.779392,22.8,8.7,4.76,882.6,50,310,53,219,1.06,0,0,3.88,6.2,69.76,0,2.72,36.19,0,0.84,51,611,0,1,1.156,0.0188,0,0,0,0,1.91,0.047,0,0,0,70.9,0.085,9300,9300,0,22,0,0,662,6.2
28/09/10,RS-01,20.346928,-102.779392,22.3,7.2,0.44,436,31,139.32,28.34,152.8,0.26,0,0,0.56,0.28,51.56,0,11.4,63.72,0,1,37,287,0,6.96,0.752,0,0,0,0,0,1.414,0.231,0,0,0,13.808,0,460000,460000,1,23,0,0,324,0.28
14/01/14,RS-01,20.346928,-102.779392,16.4,7.23,2.43,480,7.5,196.17,19.1,126.74,0,0,0,2.26,3.48,24.99,0.46,12.48,42.76,0,1.02,10,323,0,0.44,0.4041,0,0,0,0,0,0.397,0.197,6.80E-04,0,0,38.2,0.035,93000,43000,0,16,0,0,333,3.48
14/08/13,RS-01,20.346928,-102.779392,22.3,7.11,2.3,336,80,141.13,13.72,94.82,0.44,0,0.177,1.85,4.03,28.1,0.19,6.06,24.08,0,1.22,45,263,0,1.34,2.832,0,0,0,0.087,0,3.505,0.187,0,0,0.008,17.8,0.06,0,15000,0,20.2,0,0,308,4.207
16/03/10,RS-01,20.346928,-102.779392,21,8.09,3.03,624.3,38,285,39,188,1.09,0,0.14,0,1.75,58.18,0.32,3,16,6.61,0.79,34,521,0,0,1.673,0.0104,0,0,0,0,1.305,0.063,0,0,0.0181,61.6,0.082,0,0,0,20,0,0,555,1.89
12/11/18,RS-01,20.346928,-102.779392,21,6.7,1.87,395.4,7.5,161.65,20.73,127.21,0.28,0,0,1.83,11.48,29.04,0.58,10.04,35.28,0,0.79,25,229,0,0.83,0.5119,0,0.0569,0,0,0,0.666,0.251,0,0,0,22,0,11,11,0,24,7.27,67.3,254,11.48
05/07/22,RS-01,20.346928,-102.779392,23,6.7,0.77,694,13,247.3,46.62,146.87,0.57,0.21,0.034,5.24,8.74,0,0.8,12.12,84.012,6.03,2.95,24,432,0.1,3.1,0.89,0,0.06,0,0,0,0.928,0.367,0,0,0.0043,66.9,0.269,4,2,0,24,35.64,86.33,456,8.98
24/09/12,RS-01,20.346928,-102.779392,22.9,7.07,1.03,350,18,155.69,13.69,124.07,0.32,0,0,0.64,2.58,15.39,0.94,17.63,45.51,0,0.6,22,256,0,2.79,1.9563,0,0.0558,0,0,0,1.052,0.344,5.70E-04,0,0,22.1,0,150000,150000,1,23.3,0,0,278,2.58
28/11/17,RS-01,20.346928,-102.779392,18,8,2.77,885,23,302.45,55.12,194.95,1.53,0,0.033,0,3.67,91.56,0.35,0,34.27,9.96,0.8,24,583,0,1.57,1.9436,0.0037,0.1938,6.10E-04,0,0,1.321,0.091,8.90E-04,0,0,87.7,0.025,110,110,0,15,0,0,607,3.7
06/04/15,RS-01,20.346928,-102.779392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/03/20,RS-01,20.346928,-102.779392,24,7.9,3.71,929,33,339.82,55.07,238.57,0.94,0.51,0,0,1.79,95.62,0,2.5,26.08,0,0.65,32,611,0,0.28,4.13,0.0178,0.205,0,0,0,2.248,0,0,0,0,90.4,0.044,930,930,0,27,3.59,104.21,643,2.3
15/11/11,RS-01,20.346928,-102.779392,18.4,7.06,1.38,731,36,298.78,39.93,193.42,0,1.1,0,8.4,21.83,32.81,2.3,53.64,104.74,0,1.23,26,473,0,24.01,0.02651,0.0033,0.0111,0,0,0,0.3,0.217,5.20E-04,0,0,0,0.026,430000,230000,1,24.7,0,0,499,16.133
15/01/18,RS-01,20.346928,-102.779392,18,8.68,6.17,896.4,28,313.71,55.74,200.88,2.31,0.13,0,0,2.74,94.82,0,3.3,37.5,7.14,0.54,27,605,0,2.58,3.7687,0.0041,0.2212,7.40E-04,0,0,1.808,0,0,0,0,86.5,0.028,4,2,0,19,10.14,118.47,632,2.87
02/02/22,RS-01,20.346928,-102.779392,19,7.9,5.31,841,36,294.35,63.4,182.84,1.16,0.22,0.038,1.93,3.41,94.63,0.18,3.03,27.484,0,0.72,43,555,0,0.44,3.05,0.0167,0.132,0,0,0,2.007,0.079,0,0,0.0052,105.6,0,110,46,0,18,0,107.06,598,3.67
01/06/15,RS-01,20.346928,-102.779392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/02/09,RS-01,20.346928,-102.779392,21,7.9,5.7,0,0,0,0,0,0,0,0,0,5.04,0,0,17.7,219.6,6.59,0,57,473,0.1,0,1.86,0.0174,0,0,0,0,1.829,0.075,0,0,0,59.3,0,24000,15000,0,0,0,0,530,5.04
24/01/12,RS-01,20.346928,-102.779392,18.4,8.71,6.5,1172,45,354.66,57.18,239.51,1.44,0,0,0,2.89,82.61,0,0,34.35,0,0.71,55,658,0,0.58,3.2299,0.0083,0.1493,0,0,0,2.226,0.056,6.80E-04,0,0,92.77,0.074,4300,4300,1,0,0,0,713,42.32
14/10/19,RS-01,20.346928,-102.779392,23,6.6,5.46,462,6.5,172,25.42,124.87,0.6,0.22,0.077,0.9,2.7,44.27,0.35,9.84,24.8,0,0.74,13,309,0,0.28,0.3935,0.0036,0.217,0,0,0,0.945,0.227,0,0,0,37.1,0,1,1,0,27,10.7,76.57,322,3
