idParametros,param,Parametro,Grupo,,,,,,,
1,Temperatura,Temperatura,Fisico,,,,,,,
2,pH,Potencial de hidrógeno,Fisico,,,,,,,
3,Oxígeno disuelto,Oxígeno disuelto,Agotamiento Oxigeno,,,,,,,
4,Conductividad,Conductividad,Fisico,,,,,,,
5,Turbiedad,Turbiedad,Fisico,,,,,,,
6,Alcalinidad total,Alcalinidad total,Fisico,,,,,,,
7,Cloruros totales,Cloruros totales,Iones y Minerales,,,,,,,
8,Dureza total,Dureza total,Iones y Minerales,,,,,,,
9,Fluoruros,Fluoruros,Iones y Minerales,,,,,,,
10,Nitrógeno de nitratos,Nitrógeno de nitratos,Nutrientes,,,,,,,
11,Nitrógeno de nitritos,Nitrógeno de nitritos,Nutrientes,,,,,,,
12,Nitrógeno amoniacal,Nitrógeno amoniacal,Nutrientes,,,,,,,
13,Nitrógeno total Kjeldahl,Nitrógeno total Kjeldahl,Nutrientes,,,,,,,
14,Sulfatos,Sulfatos,Iones y Minerales,,,,,,,
15,SAAM,Sustancias activas al azul de metileno,Orgánicos,,,,,,,
16,DBO 5,Demanda bioquímica de oxígeno,Agotamiento Oxigeno,,,,,,,
17,DQO,Demanda química de oxígeno,Agotamiento Oxigeno,,,,,,,
18,Grasas y aceites,Grasas y aceites,Orgánicos,,,,,,,
19,Fósforo total,Fósforo total,Nutrientes,,,,,,,
20,SST,Sólidos suspendidos totales,Fisico,,,,,,,
21,Sólidos disueltos tot.,Sólidos disueltos totales,Fisico,,,,,,,
22,Sólidos sedimentables,Sólidos sedimentables,Fisico,,,,,,,
23,Sulfuros,Sulfuros,Iones y Minerales,,,,,,,
24,Aluminio,Aluminio,Metales Pesados,,,,,,,
25,Arsénico,Arsénico,Metales Pesados,,,,,,,
26,Bario,Bario,Metales Pesados,,,,,,,
27,Cadmio,Cadmio,Metales Pesados,,,,,,,
28,Cobre,Cobre,Metales Pesados,,,,,,,
29,Cromo,Cromo,Metales Pesados,,,,,,,
30,Fierro,Fierro,Iones y Minerales,,,,,,,
31,Manganeso,Manganeso,Iones y Minerales,,,,,,,
32,Mercurio,Mercurio,Metales Pesados,,,,,,,
33,Níquel,Níquel,Metales Pesados,,,,,,,
34,Plomo,Plomo,Metales Pesados,,,,,,,
35,Sodio,Sodio,Iones y Minerales,,,,,,,
36,Zinc,Zinc,Metales Pesados,,,,,,,
37,Coliformes totales,Coliformes totales,Microbiológicos,,,,,,,
38,Coliformes fecales,Coliformes fecales,Microbiológicos,,,,,,,
39,Materia flotante,Presencia de materia flotante,Fisico,,,,,,,
40,Cloro libre residual,Cloro libre residual,,,,,,,,
41,Color,Color,,,,,,,,
42,Gasto,Gasto,,,,,,,,
43,Olor,Olor,,,,,,,,
44,O2 disuelto,Oxígeno disuelto,Agotamiento Oxigeno,,,,,,,
45,Profundidad,Profundidad,,,,,,,,
46,Temp. ambiente,Temperatura ambiente,Fisico,,,,,,,
47,Transparencia Secchi,Transparencia Secchi,,,,,,,,
48,Acidez total,Acidez total,Fisico,,,,,,,
49,Alcalinidad fenolftaleína,Alcalinidad a la fenolftaleína,Fisico,,,,,,,
50,Color verdadero,Color verdadero,,,,,,,,
51,Cromo hexavalente,Cromo hexavalente,,,,,,,,
52,Dureza de calcio,Dureza de calcio,Iones y Minerales,,,,,,,
53,Dureza de manganeso,Dureza de manganeso,Iones y Minerales,,,,,,,
54,Fenoles,Fenoles,,,,,,,,
55,Sólidos totales,Sólidos totales,Fisico,,,,,,,
56,SDV,SDV,,,,,,,,
57,STV,STV,,,,,,,,
58,SSV,SSV,,,,,,,,
59,SDF,SDF,,,,,,,,
60,STF,STF,,,,,,,,
61,SSF,SSF,,,,,,,,
62,Ortofosfatos,Ortofosfatos,,,,,,,,
63,Sílice,Sílice,,,,,,,,
64,Cianuros,Cianuros,,,,,,,,
65,DBO Soluble,DBO Soluble,,,,,,,,
66,DQO Soluble,DQO Soluble,,,,,,,,
67,Coliformes fecales UFC,Coliformes fecales UFC,Microbiológicos,,,,,,,
68,Coliformes totales UFC,Coliformes totales UFC,Microbiológicos,,,,,,,
69,Huevos de helminto,Huevos de helminto,,,,,,,,
70,Plaguicidas,Plaguicidas organoclorados,,,,,,,,
71,Trihalometanos,Trihalometanos,,,,,,,,
72,Herbicidas,Herbicidas clorados,,,,,,,,
73,Clorofila,Clorofila A,,,,,,,,
74,Nitrógeno total,Nitrógeno total,Nutrientes,,,,,,,
75,Clorofilas,"Clorofilas A, B y C",,,,,,,,
76,Clorofila B,Clorofila B,,,,,,,,
77,Clorofila C,Clorofila C,,,,,,,,
78,Plata,Plata,,,,,,,,
