idPunto,siglas,clave,puntoMuestreo,descripción,lat,long,
1,RS,RS-01,Ocotlán,Ocotlán,20.346928,-102.779392,
2,RS,RS-02,Presa Corona,Cortina Presa Corona - Poncitlán,20.399667,-103.090619,
3,RS,RS-03,Ex-hacienda Zap.,Ex-hacienda de Zapotlanejo,20.442003,-103.143814,
4,RS,RS-04,Salto-Juanacatlán,Compuerta - Puente El Salto-Juanacatlán,20.512825,-103.174558,
5,RS,RS-05,Puente Grande,Puente Grande,20.571036,-103.147283,
6,RS,RS-06,Matatlán,Vertedero Controlado Matatlán,20.668289,-103.187169,
7,RS,RS-07,Paso de Gpe.,Paso de Guadalupe,20.839097,-103.328972,
8,RS,RS-08,Cristóbal de la B.,San Cristóbal de la Barranca,21.038356,-103.426036,
9,RS,RS-09,Camino Salvador,Camino al Salvador - Tequila,20.912106,-103.711964,
10,RS,RS-10,Paso La Yesca,Paso La Yesca,21.190106,-104.073053,
11,AA,AA-01,Carr. Chapala,Carretera a Chapala antes de Aeropuerto,20.537825,-103.296703,
12,AA,AA-02,El Muelle,Puente localidad El Muelle,20.497869,-103.216722,
13,RZ,RZ-01,Río Zula,Puente Carretera Guadalajara - La Barca,20.34455,-102.774767,
